level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM7,em7_m1_d5_curr2_paper,em7_m1,5,curriculum_block,Mixing Paint,em7_m1_s4,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d5_curr3_main,em7_m1,5,curriculum_block,"Launch, Task, & Reengagement",em7_m1_s4,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d5_curr3_paper,em7_m1,5,curriculum_block,Pea Soup,em7_m1_s4,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d6_welcome,em7_m1,6,welcome,Which One Doesn't Belong? Day 6,,{}
EM7,em7_m1_d6_wod,em7_m1,6,word_of_day,Proportional,em7_m1_s5,{}
EM7,em7_m1_d6_dt,em7_m1,6,dot_talk,Dot Talk #6,,{}
EM7,em7_m1_d6_curr1_main,em7_m1,6,curriculum_block,FAL,em7_m1_s5,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d6_curr1_paper,em7_m1,6,curriculum_block,Launch,em7_m1_s5,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d6_mt,em7_m1,6,math_talk,Number Talk #6,em7_m1_s5,{}
EM7,em7_m1_d6_gm,em7_m1,6,growth_mindset,Lesson 6,,{}
EM7,em7_m1_d6_curr2_main,em7_m1,6,curriculum_block,FAL,em7_m1_s5,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d6_curr2_paper,em7_m1,6,curriculum_block,Launch,em7_m1_s5,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d6_curr3_main,em7_m1,6,curriculum_block,FAL,em7_m1_s5,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d6_curr3_paper,em7_m1,6,curriculum_block,Card Sort,em7_m1_s5,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d7_welcome,em7_m1,7,welcome,Which One Doesn't Belong? Day 7,,{}
EM7,em7_m1_d7_wod,em7_m1,7,word_of_day,Unit Rate,em7_m1_s6,{}
EM7,em7_m1_d7_dt,em7_m1,7,dot_talk,Dot Talk #7,,{}
EM7,em7_m1_d7_curr1_main,em7_m1,7,curriculum_block,FAL PDF,em7_m1_s6,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d7_curr1_paper,em7_m1,7,curriculum_block,Nearpod - Scaffolded Version,em7_m1_s6,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d7_mt,em7_m1,7,math_talk,Dilemma,em7_m1_s6,{}
EM7,em7_m1_d7_gm,em7_m1,7,growth_mindset,Lesson 7,,{}
EM7,em7_m1_d7_curr2_main,em7_m1,7,curriculum_block,FAL,em7_m1_s6,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d7_curr2_paper,em7_m1,7,curriculum_block,Work on Cards,em7_m1_s6,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
